시발역,동대구,구미  ,동대구,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,동대구,구미  ,구미  ,구미  ,구미  ,구미  ,동대구,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,
종착역,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,동대구,경산  ,경산  ,경산  ,동대구,경산  ,경산  ,경산  ,동대구,동대구,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,동대구,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,동대구,경산  ,동대구,
열차번호,K1701,K1705,K1703,K1707,K1709,K1711,K1713,K1715,K1717,K1719,K1721,K1723,K1725,K1727,K1729,K1731,K1733,K1735,K1737,K1739,K1741,K1743,K1745,K1749,K1751,K1753,K1757,K1755,K1759,K1761,K1763,K1765,K1769,K1767,K1771,K1773,K1775,K1777,K1779,K1781,K1783,K1785,K1787,K1789,K1791,K1793,K1795,K1797,K1799,K1801,K1803,
,,5:54:30,,6:04:30,6:29:30,6:51:30,7:14:30,7:26:30,7:45:30,7:54:30,8:14:30,8:29:30,8:44:30,9:08:30,9:37:00,9:51:00,10:04:30,10:29:00,10:49:30,11:20:30,11:38:30,12:07:30,12:28:30,13:50:00,14:03:30,14:27:30,15:22:00,,15:51:00,16:10:30,16:30:30,16:52:30,17:25:30,,17:56:30,18:24:30,18:41:30,19:00:00,19:15:30,19:44:30,20:10:30,20:32:30,20:59:30,21:20:30,21:45:30,22:15:30,22:38:30,22:59:00,23:19:30,23:46:30,0:14:30,
신동  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,5:57:00,,6:07:00,6:32:00,6:54:00,7:17:00,7:29:00,7:48:00,7:57:00,8:17:00,8:32:00,8:47:00,9:11:00,9:39:30,9:53:30,10:07:00,10:31:30,10:52:00,11:23:00,11:41:00,12:10:00,12:31:00,13:52:30,14:06:00,14:30:00,15:24:30,,15:53:30,16:13:00,16:33:00,16:55:00,17:28:00,,17:59:00,18:27:00,18:44:00,19:02:30,19:18:00,19:47:00,20:13:00,20:35:00,21:02:00,21:23:00,21:48:00,22:18:00,22:41:00,23:01:30,23:22:00,23:49:00,0:17:00,
지천  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,6:02:00,,6:12:00,6:37:00,6:59:00,7:22:00,7:34:00,7:53:00,8:02:00,8:22:00,8:37:00,8:52:00,9:16:00,9:44:30,9:58:30,10:12:00,10:36:30,10:57:00,11:28:00,11:46:00,12:15:00,12:36:00,13:57:30,14:11:00,14:35:00,15:29:30,,15:58:30,16:18:00,16:38:00,17:00:00,17:33:00,,18:04:00,18:32:00,18:49:00,19:07:30,19:23:00,19:52:00,20:18:00,20:40:00,21:07:00,21:28:00,21:53:00,22:23:00,22:46:00,23:06:30,23:27:00,23:54:00,0:22:00,
서대구,        ,6:06:00,        ,6:16:00,6:41:00,7:03:00,7:26:00,7:38:00,7:57:00,8:06:00,8:26:00,8:41:00,8:56:00,9:20:00,9:48:30,10:02:30,10:16:00,10:40:30,11:01:00,11:32:00,11:50:00,12:19:00,12:40:00,14:01:30,14:15:00,14:39:00,15:33:30,        ,16:02:30,16:22:00,16:42:00,17:04:00,17:37:00,        ,18:08:00,18:36:00,18:53:00,19:11:30,19:27:00,19:56:00,20:22:00,20:44:00,21:11:00,21:32:00,21:57:00,22:27:00,22:50:00,23:10:30,23:31:00,23:58:00,0:26:00,        
,,6:06:30,,6:16:30,6:41:30,7:03:30,7:26:30,7:38:30,7:57:30,8:06:30,8:26:30,8:41:30,8:56:30,9:20:30,9:49:00,10:03:00,10:16:30,10:41:00,11:01:30,11:32:30,11:50:30,12:19:30,12:40:30,14:02:00,14:15:30,14:39:30,15:34:30,,16:03:00,16:22:30,16:42:30,17:04:30,17:37:30,,18:08:30,18:36:30,18:53:30,19:12:00,19:27:30,19:56:30,20:22:30,20:44:30,21:11:30,21:32:30,21:57:30,22:27:30,22:50:30,23:11:00,23:31:30,23:58:30,0:26:30,
대구  ,        ,6:12:00,        ,6:22:00,6:47:00,7:09:00,7:32:00,7:44:00,8:03:00,8:12:00,8:32:00,8:47:00,9:02:00,9:26:00,9:54:30,10:08:30,10:22:00,10:46:30,11:07:00,11:38:00,11:56:00,12:25:00,12:46:00,14:07:30,14:21:00,14:45:00,15:40:00,        ,16:08:30,16:28:00,16:48:00,17:10:00,17:43:00,        ,18:14:00,18:42:00,18:59:00,19:17:30,19:33:00,20:02:00,20:28:00,20:50:00,21:17:00,21:38:00,22:03:00,22:33:00,22:56:00,23:16:30,23:37:00,0:04:00,0:32:00,        
,,6:12:30,,6:22:30,6:47:30,7:09:30,7:32:30,7:44:30,8:03:30,8:12:30,8:32:30,8:47:30,9:02:30,9:26:30,9:55:00,10:09:00,10:22:30,10:47:00,11:07:30,11:38:30,11:56:30,12:25:30,12:46:30,14:08:00,14:21:30,14:45:30,15:40:30,,16:09:00,16:28:30,16:48:30,17:10:30,17:43:30,,18:14:30,18:42:30,18:59:30,19:18:00,19:33:30,20:02:30,20:28:30,20:50:30,21:17:30,21:38:30,22:03:30,22:33:30,22:56:30,23:17:00,23:37:30,0:04:30,0:32:30,
동대구,        ,6:17:30,        ,6:27:30,6:52:30,7:14:30,7:37:30,7:49:30,8:08:30,8:17:30,8:37:30,8:52:30,9:07:30,9:31:30,10:00:00,10:14:00,10:27:30,10:52:00,11:12:30,11:43:30,12:01:30,12:30:30,12:51:30,14:13:00,14:26:30,14:50:30,15:45:30,        ,16:14:00,16:33:30,16:53:30,17:15:30,17:48:30,        ,18:19:30,18:47:30,19:04:30,19:23:00,19:38:30,20:07:30,20:33:30,20:55:30,21:22:30,21:43:30,22:08:30,22:38:30,23:01:30,23:22:00,23:42:30,0:09:30,0:37:30,        
,5:35:00,6:18:30,5:49:00,6:28:30,6:53:30,7:15:30,7:39:00,7:50:30,8:09:30,8:18:30,8:38:30,        ,9:08:30,9:32:30,10:01:00,        ,10:28:30,10:53:00,11:13:30,        ,        ,12:31:30,12:52:30,14:14:00,14:27:30,14:51:30,15:48:30,15:25:00,16:15:00,16:34:30,16:54:30,17:16:30,17:49:00,17:35:00,18:20:30,18:48:00,        ,19:24:00,19:39:30,20:08:00,20:35:00,20:56:30,21:23:30,21:44:30,22:13:00,22:39:30,23:02:30,23:23:00,        ,0:10:30,        ,
고모  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:39:30,6:23:00,5:53:30,6:33:00,6:58:00,7:20:00,7:43:30,7:55:00,8:14:00,8:23:00,8:43:00,,9:13:00,9:37:00,10:05:30,,10:33:00,10:57:30,11:18:00,,,12:36:00,12:57:00,14:18:30,14:32:00,14:56:00,15:53:00,15:29:30,16:19:30,16:39:00,16:59:00,17:21:00,17:53:30,17:39:30,18:25:00,18:52:30,,19:28:30,19:44:00,20:12:30,20:39:30,21:01:00,21:28:00,21:49:00,22:17:30,22:44:00,23:07:00,23:27:30,,0:15:00,,
가천  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,5:40:30,6:24:00,5:54:30,6:34:00,6:59:00,7:21:00,7:44:30,7:56:00,8:15:00,8:24:00,8:44:00,,9:14:00,9:38:00,10:06:30,,10:34:00,10:58:30,11:19:00,,,12:37:00,12:58:00,14:19:30,14:33:00,14:57:00,15:54:00,15:30:30,16:20:30,16:40:00,17:00:00,17:22:00,17:54:30,17:41:00,18:26:00,18:53:30,,19:29:30,19:45:00,20:13:30,20:40:30,21:02:00,21:29:00,21:50:00,22:18:30,22:45:00,23:08:00,23:28:30,,0:16:00,,
경산  ,5:46:00,6:29:30,6:00:00,6:39:30,7:04:30,7:26:30,7:50:00,8:01:30,8:20:30,8:29:30,8:49:00,        ,9:19:30,9:43:30,10:12:00,        ,10:39:30,11:04:00,11:24:30,        ,        ,12:42:00,13:03:30,14:24:30,14:38:30,15:02:30,15:59:30,15:35:30,16:26:00,16:45:30,17:05:30,17:27:30,17:59:30,17:47:00,18:31:30,18:59:00,        ,19:35:00,19:50:30,20:19:00,20:46:00,21:07:30,21:34:30,21:55:30,22:24:00,22:50:30,23:13:30,23:34:00,        ,0:21:30,        ,        
,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,        ,        ,        ,,        ,        ,        ,,,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,        ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
